num,id,name,year,rank,average,bayes_average,users_rated,url,thumbnail
70,229853,Teotihuacan: City of Gods,2018,71,7.93,7.643,15163,/boardgame/229853/teotihuacan-city-gods,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__micro/img/kXVTBtcGC-5L706WFNJLAuZTovQ=/fit-in/64x64/filters:strip_icc()/pic4583626.jpg
247,38453,Space Alert,2008,248,7.43,7.203,15159,/boardgame/38453/space-alert,https://cf.geekdo-images.com/tinE1f2lauIsEL4aC9aU-w__micro/img/KUsjw2BlqR5zR3HqPp2wy8hsets=/fit-in/64x64/filters:strip_icc()/pic384313.jpg
52,209010,Mechs vs. Minions,2016,53,8.02,7.721,15119,/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__micro/img/n4vvAq2JZvjf0yS_Mugr79dqM90=/fit-in/64x64/filters:strip_icc()/pic3184103.jpg
280,140934,Arboretum,2015,281,7.36,7.152,15109,/boardgame/140934/arboretum,https://cf.geekdo-images.com/XYOn10oXBrDqHySf0jvnyQ__micro/img/oXEq6SZJdA5icbhBemOwK90Pjf8=/fit-in/64x64/filters:strip_icc()/pic4172124.png
1310,438,Scotland Yard,1983,1311,6.51,6.37,15049,/boardgame/438/scotland-yard,https://cf.geekdo-images.com/NbHZjHmQcA5_TenhVJtJ3w__micro/img/6FjTH4dHCK1dTxUcG6P8wMoYP8M=/fit-in/64x64/filters:strip_icc()/pic4527702.jpg
331,9217,Saint Petersburg,2004,332,7.29,7.085,15003,/boardgame/9217/saint-petersburg,https://cf.geekdo-images.com/Yoidfpvt2eACASYUpbmsyg__micro/img/bcmOETQzRfO10riB4-iP6knp8VE=/fit-in/64x64/filters:strip_icc()/pic246360.jpg
676,160499,King of New York,2014,677,6.94,6.755,14940,/boardgame/160499/king-new-york,https://cf.geekdo-images.com/FGekxht_r5xqt8oSmQ9HZg__micro/img/ER8ewGSYy-b0WrM0pEZmPopPPYQ=/fit-in/64x64/filters:strip_icc()/pic2407103.jpg
20,316554,Dune: Imperium,2020,21,8.32,7.961,14897,/boardgame/316554/dune-imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__micro/img/mfU7-dEFnVyXJrF-BWAO0buexao=/fit-in/64x64/filters:strip_icc()/pic5666597.jpg
288,77130,Sid Meier's Civilization: The Board Game,2010,289,7.4,7.147,14851,/boardgame/77130/sid-meiers-civilization-board-game,https://cf.geekdo-images.com/1WAfWHPi4Vvm1UCMtQaeaA__micro/img/Fbdc_d2M_CGVqOwoIN3DgAIxLak=/fit-in/64x64/filters:strip_icc()/pic798666.jpg
1095,43443,Castle Panic,2009,1096,6.65,6.487,14839,/boardgame/43443/castle-panic,https://cf.geekdo-images.com/S7fIwW5oKep1_Eov9kk91w__micro/img/Kpya1WCnksuU0NSKfaszsBENhqw=/fit-in/64x64/filters:strip_icc()/pic6123987.jpg
